_lat,_lon
40.7213878027,-73.9779512359
40.7213719838,-73.9780001152
40.7213956534,-73.9780221276
40.7213998691,-73.977973883
40.7213871028,-73.9778786956
40.7212710039,-73.9779855238
40.7212258964,-73.977993563
40.721230839,-73.9779549114
40.7212626091,-73.9778931244
40.721304037,-73.9779517587
40.7213730082,-73.9779769669
40.7214397729,-73.9780004395
40.7214705735,-73.9780321473
40.7215145358,-73.9780389471
40.7215194868,-73.9780363093
40.7215230605,-73.9780331799
40.7214956615,-73.9780776253
40.7215268883,-73.9780831939
40.7215621871,-73.9780749048
40.7215291368,-73.978059502
40.7215697841,-73.9780019545
40.7215856312,-73.9779721667
40.7216211015,-73.9779510397
40.7216395048,-73.9779570927
40.7216536609,-73.9779812047
40.721670161,-73.9780039053
40.7216755869,-73.9780296031
40.7216779153,-73.9780530547
40.7216712447,-73.9780712266
40.7216582012,-73.9780885127
40.7216438089,-73.9781041517
40.7216281328,-73.9781168139
40.7216118114,-73.9781306726
40.7215992861,-73.978145273
40.7215942359,-73.9781627822
40.7215946433,-73.9781798632
40.721597383,-73.9781941217
40.7216015154,-73.9782059187
40.7216099408,-73.9782155098
40.7216226092,-73.9782227445
40.7216338489,-73.978229195
40.7216419491,-73.9782388704
40.7216478897,-73.9782555079
40.7216521118,-73.978274732
40.7216610532,-73.9783072561
40.7216745551,-73.9783410659
40.7216862959,-73.9783724415
40.7216950956,-73.9784063641
40.7217039505,-73.9784381259
40.7217143167,-73.9784683271
40.7217247396,-73.9784968178
40.7217328457,-73.9785160118
40.7217446197,-73.9785254006
40.7217529379,-73.9785380149
40.7217587604,-73.9785507903
40.7217543022,-73.9785729308
40.7217383376,-73.978608773
40.7217195571,-73.9786404087
40.721702104,-73.9786655871
40.7216893988,-73.9786868908
40.7216837713,-73.9787035813
40.7216860687,-73.9787160719
40.7216932513,-73.9787267159
40.7216999655,-73.9787376923
40.7217065351,-73.9787475788
40.7217126771,-73.9787559584
40.7217199422,-73.9787636594
40.721729989,-73.9787773458
40.721743931,-73.978793978
40.7217623502,-73.9788103034
40.721781824,-73.9788272688
40.7218001062,-73.9788449898
40.7218157323,-73.9788660184
40.7218274969,-73.9788942678
40.7218296226,-73.9789284321
