_lat,_lon
40.7214633096,-73.9780384396
40.7214633096,-73.9780384396
40.7214230684,-73.9780701189
40.7214188559,-73.9780718992
40.7214154868,-73.97807275
40.7214113116,-73.9780735888
40.7214057416,-73.9780745016
40.7213971472,-73.9780774713
40.7213904883,-73.9780826974
40.7213854297,-73.9780900959
40.721379862,-73.9780977966
40.7213748614,-73.9781051329
40.7213725046,-73.978106509
40.721372304,-73.9781018508
40.7213744651,-73.9780924844
40.7213780972,-73.9780805825
40.7213821684,-73.9780678224
40.7213860685,-73.9780552139
40.7213897693,-73.9780427494
40.7213929707,-73.978030792
40.7213956964,-73.9780197085
40.7213979706,-73.9780095504
40.7213998439,-73.9780001576
40.7214016381,-73.9779869123
40.7214032043,-73.9779708972
40.7214043959,-73.9779538563
40.7214052168,-73.9779368738
40.7214057604,-73.9779205966
40.7214060775,-73.9779053659
40.7214062239,-73.9778912593
40.7214062357,-73.9778781783
40.7214061341,-73.9778651503
40.7214059491,-73.9778521998
40.7214057577,-73.9778395251
40.721405582,-73.9778275496
40.7214054381,-73.9778160289
40.7214053308,-73.9778048032
40.7213983783,-73.9777063893
40.7214037868,-73.9777053315
40.7214125136,-73.977700151
40.7214214026,-73.9777010676
40.7213789391,-73.9781300403
40.7213829709,-73.9781040061
40.7213916296,-73.9781022799
40.7214040818,-73.9781070134
40.7214195943,-73.9781179645
40.7214362392,-73.978134188
40.7214526593,-73.9781545493
40.7214685712,-73.9781764889
40.7214846921,-73.9781962986
40.7214995541,-73.9782142512
40.721511829,-73.9782293312
40.7215224375,-73.9782433102
40.721532223,-73.9782549548
40.721540998,-73.9782619897
40.7215479203,-73.9782633331
40.7215529009,-73.9782604673
40.721556791,-73.9782545814
40.7215618699,-73.978252212
40.7215677876,-73.9782553262
40.7215726488,-73.9782616
40.7215763777,-73.9782704102
40.7215784549,-73.9782816888
40.7215790609,-73.9782933849
40.721578751,-73.9783073658
40.7215780541,-73.9783240489
40.721577185,-73.9783413748
40.7215780217,-73.9783584469
40.7215800022,-73.9783746691
40.7215844711,-73.9783897988
40.7215912059,-73.978404771
40.7215978272,-73.9784209122
40.7216036078,-73.978440117
40.7216071411,-73.9784598714
40.7216097468,-73.9784779975
40.7216135079,-73.9784954112
40.7216191764,-73.9785116069
40.7216255543,-73.9785272931
40.7216321728,-73.978542365
40.7216385991,-73.9785589026
40.7216448742,-73.9785782647
40.7216504903,-73.9786006887
40.7216549372,-73.9786249956
40.7216578619,-73.9786492189
40.7216602474,-73.9786731198
40.721662034,-73.9786973389
40.7216633358,-73.9787193884
40.7216643307,-73.9787390344
40.7216658827,-73.9787579042
40.7216676618,-73.9787785566
40.7216696141,-73.9788002817
40.7216725721,-73.978821704
40.7216781067,-73.9788421487
40.7216859752,-73.9788616631
40.721694547,-73.9788800057
40.7217023312,-73.9788966399
40.7217103536,-73.9789110709
40.7217194489,-73.9789239001
40.7217299445,-73.9789365315
40.7217406226,-73.9789487722
40.7217494182,-73.9789613663
40.7217556114,-73.9789730954
40.7217596359,-73.9789844009
40.7217622537,-73.9789963708
40.7217641971,-73.9790092174
40.7217663466,-73.9790228674
40.7217691615,-73.9790366929
40.7217734852,-73.979050188
40.7217793073,-73.979065397
40.7217859077,-73.9790814855
40.721792689,-73.9790980877
40.7217990475,-73.9791129129
40.7218053363,-73.9791252823
40.7218118201,-73.9791373895
40.7218183513,-73.9791489517
40.7218236326,-73.9791589849
40.7218306223,-73.9791697245
40.7218394753,-73.9791811322
40.7218502273,-73.9791925839
40.7218612109,-73.9792019008
40.7218711851,-73.9792098846
40.7218824303,-73.9792178295
40.7218950611,-73.9792250387
40.7219070886,-73.9792344363
40.721917473,-73.9792457309
40.7219265764,-73.9792599661
40.7219354924,-73.9792765629
40.7219453487,-73.979293275
40.7219567866,-73.9793097212
40.7219696792,-73.9793255849
40.7219823067,-73.9793397035
40.7219933175,-73.979351098
